latitude,longitude,name,price,property_type,month,country_code,suburb,rating,city,availability,minimum_nights,maximum_nights,room_type,bedrooms,bathrooms,amenities_count,number_of_reviews
-33.96629,151.25151,Sydney beachside apt,171,Apartment,3,AU,Malabar,7,Unknown,,3,60,Entire home/apt,2.0,1.0,45,144
21.2855,-157.83398,"Unique Design, Awesome view , Prime Location",50,Apartment,3,US,Honolulu,6,Unknown,,1,999,Entire home/apt,0.0,1.0,22,86
41.00488,28.96755,+Spacious Studio&Kitchenette near Blue Mosque+,264,Apartment,2,TR,Fatih,5,Unknown,,2,1125,Entire home/apt,0.0,1.0,17,39
45.49455,-73.57844,Downtown Montreal Modern Appartement,110,Apartment,3,CA,Downtown Montreal,5,Unknown,,2,1125,Entire home/apt,0.0,1.0,20,30
45.5301,-73.56211,MTL DOWNTOWN STUDIO APT 6A,39,Apartment,3,CA,Le Plateau,5,Unknown,,27,355,Entire home/apt,0.0,1.0,34,4
-33.87128,151.27395,Quiet Rose Bay Residence near Bondi Beach,399,House,3,AU,Rose Bay/Dover Heights,5,Unknown,,3,1125,Entire home/apt,2.0,1.0,11,0
41.1584,-8.60792,OPORTO FLAT,39,Apartment,2,PT,,7,Unknown,,1,1125,Entire home/apt,2.0,2.0,59,128
-33.88081,151.18334,Sunny Room in Glebe Townhouse,119,Townhouse,3,AU,Glebe,5,Unknown,,1,1125,Private room,1.0,2.5,14,0
41.15772,-8.61302,Made4U - Glória      NEW!!!,45,Apartment,2,PT,,7,Unknown,,3,30,Entire home/apt,1.0,1.5,39,119
41.39106,2.1509,Charming room  Diagonal wifi 100 Mb,39,Apartment,3,ES,L'Antiga Esquerra de l'Eixample,6,Unknown,,7,45,Private room,1.0,1.0,44,67
-33.88871,151.21271,Central Terrace in the heart of Surry Hills,300,House,3,AU,Surry Hills,5,Unknown,,2,1125,Entire home/apt,4.0,2.0,13,1
-33.89618,151.1561,Light Drenched and Private Cabin,109,Cabin,3,AU,Petersham,6,Unknown,,2,1125,Entire home/apt,0.0,1.0,19,80
21.31369,-158.00071,Hale Honulei,175,House,3,US,Leeward Side,6,Unknown,,3,14,Entire home/apt,2.0,2.0,19,95
-33.86119,151.20532,Luxurious 4 to 5 Room The Rocks Large House Sydney,380,Townhouse,3,AU,Central Business District,5,Unknown,,1,1125,Entire home/apt,4.0,2.0,42,31
-33.92391,151.18622,Cozy Unit 5min from airport!,135,Apartment,3,AU,Mascot,5,Unknown,,2,1125,Private room,1.0,1.0,20,3
41.14427,-8.61549,Apartmento Duplex Rua das Flores,85,Apartment,2,PT,,5,Unknown,,1,1125,Entire home/apt,1.0,1.0,25,0
40.68887,-73.92903,One-Bedroom Brooklyn Brownstone,95,Apartment,3,US,Bedford-Stuyvesant,5,Unknown,,3,1125,Entire home/apt,1.0,1.0,12,13
-22.912102434375207,-43.184613548819904,Lapa for your lifestyle.,93,Apartment,2,BR,Lapa,7,Unknown,,2,1125,Entire home/apt,1.0,1.0,16,124
-33.90277,151.26372,"Bronte Home, Fabulous Location",999,House,3,AU,Bronte,5,Unknown,,4,21,Entire home/apt,4.0,1.5,20,3
41.40631,2.17178,Beautiful Apartment Sagrada Familia SPB332388,60,Apartment,3,ES,La Sagrada Família,6,Unknown,,1,1125,Entire home/apt,2.0,1.0,30,97
40.68844,-73.90531,Spacious & Cozy Bushwick Walk-up 3mins from Train,49,Apartment,3,US,Brooklyn,6,Unknown,,1,28,Private room,1.0,1.0,31,60
40.67034,-73.93902,Sweet two bedroom in Crown Heights Bk,87,Apartment,3,US,Crown Heights,5,Unknown,,1,180,Entire home/apt,2.0,1.0,28,9
45.51895,-73.56963,Cozy In The Heart Of The Plateau,68,Apartment,3,CA,Le Plateau,7,Unknown,,2,40,Private room,1.0,1.0,29,112
40.73732,-73.90168,Private Room With Patio In Queens,48,Apartment,3,US,Maspeth,5,Unknown,,20,1125,Private room,1.0,2.0,14,32
-33.91078,151.22424,Spacious modern studio with amazing views,100,Apartment,3,AU,Kensington,5,Unknown,,2,120,Entire home/apt,0.0,1.0,32,47
41.15101,-8.60825,HM - Bonjardim Studio Downtown,55,Apartment,2,PT,,5,Unknown,,2,1125,Entire home/apt,0.0,1.0,28,2
41.06292,28.9258,"İstanbulda, 3 yatakoda ğüzel daire.",200,Apartment,2,TR,,5,Unknown,,1,1125,Private room,1.0,1.0,2,0
45.49243,-73.57005,The Lux MTL Condo steps away from everything!,82,Condominium,3,CA,Downtown Montreal,7,Unknown,,2,365,Entire home/apt,2.0,1.0,37,119
45.51525,-73.55529,Urban Oasis Steps Away From Old Montreal,90,Apartment,3,CA,Downtown Montreal,5,Unknown,,31,180,Entire home/apt,2.0,1.0,36,4
41.14974,-8.60525,SANTA CATARINA HOUSE,69,House,2,PT,,9,Unknown,,1,1125,Entire home/apt,3.0,3.0,27,221
40.85425,-73.93585,A charming Art-deco upper Manhattan,80,Apartment,3,US,Manhattan,5,Unknown,,1,1125,Private room,1.0,1.0,44,7
-33.62716,151.31776,Apartment among the trees,161,Apartment,3,AU,Avalon,5,Unknown,,1,1125,Entire home/apt,1.0,1.0,25,47
40.86914,-73.8951,Spacious RM in Home with Backyard/Near Metro,79,House,3,US,Bedford Park,6,Unknown,,3,30,Private room,1.0,3.0,36,63
22.0625,-159.31981,Coconut Coast Vacation Condo 1 Bedroom With Den,169,Condominium,3,US,Kauaʻi,5,Unknown,,3,1125,Entire home/apt,2.0,1.0,47,20
